Application class: name
run,applicationCompletionTime,applicationDeltaBeforeComputing,jobCompletionTime_J0,jobCompletionTime_J1,jobCompletionTime_J2,jobCompletionTime_J3,jobCompletionTime_J4,nTask_S0,maxTask_S0,avgTask_S0,SHmax_S0,SHavg_S0,Bmax_S0,Bavg_S0,nTask_S1,maxTask_S1,avgTask_S1,SHmax_S1,SHavg_S1,Bmax_S1,Bavg_S1,nTask_S10,maxTask_S10,avgTask_S10,SHmax_S10,SHavg_S10,Bmax_S10,Bavg_S10,nTask_S11,maxTask_S11,avgTask_S11,nTask_S12,maxTask_S12,avgTask_S12,SHmax_S12,SHavg_S12,Bmax_S12,Bavg_S12,nTask_S13,maxTask_S13,avgTask_S13,SHmax_S13,SHavg_S13,Bmax_S13,Bavg_S13,nTask_S14,maxTask_S14,avgTask_S14,SHmax_S14,SHavg_S14,Bmax_S14,Bavg_S14,nTask_S15,maxTask_S15,avgTask_S15,nTask_S16,maxTask_S16,avgTask_S16,SHmax_S16,SHavg_S16,Bmax_S16,Bavg_S16,nTask_S17,maxTask_S17,avgTask_S17,SHmax_S17,SHavg_S17,Bmax_S17,Bavg_S17,nTask_S18,maxTask_S18,avgTask_S18,SHmax_S18,SHavg_S18,Bmax_S18,Bavg_S18,nTask_S19,maxTask_S19,avgTask_S19,nTask_S2,maxTask_S2,avgTask_S2,SHmax_S2,SHavg_S2,Bmax_S2,Bavg_S2,nTask_S3,maxTask_S3,avgTask_S3,nTask_S4,maxTask_S4,avgTask_S4,SHmax_S4,SHavg_S4,Bmax_S4,Bavg_S4,nTask_S5,maxTask_S5,avgTask_S5,SHmax_S5,SHavg_S5,Bmax_S5,Bavg_S5,nTask_S6,maxTask_S6,avgTask_S6,SHmax_S6,SHavg_S6,Bmax_S6,Bavg_S6,nTask_S7,maxTask_S7,avgTask_S7,nTask_S8,maxTask_S8,avgTask_S8,SHmax_S8,SHavg_S8,Bmax_S8,Bavg_S8,nTask_S9,maxTask_S9,avgTask_S9,SHmax_S9,SHavg_S9,Bmax_S9,Bavg_S9,users,dataSize,nContainers
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0094,774208,6108,118777,80672,180480,208733,176336,120,2753,946.7916666666666,758997680,282360521.68333334,485033,481413.26666666666,120,547,224.05833333333334,413097412,155298969.425,94038,91267.39166666666,240,1847,588.7166666666667,331871172,122038306.93333334,3139981,853173.5958333333,120,165465,24578.258333333335,120,4360,1258.3083333333334,229520958,119657774.95833333,1049801,1010634.6833333333,120,2417,191.31666666666666,171336209,95975218.73333333,94038,91267.39166666666,240,1764,519.15,300931139,108024262.68333334,2905853,787663.1166666667,120,138594,24570.458333333332,120,3195,1020.9,248151817,114163948.94166666,1046151,1007689.075,120,1248,333.6166666666667,238741723,105077836.28333333,94038,91267.39166666666,240,1628,497.27916666666664,281061323,105472627.45416667,3132667,784940.625,120,147828,24863.008333333335,240,1565,593.4125,482718239,164862167.9,1982660,412614.67083333334,120,62786,12302.641666666666,120,2963,744.8916666666667,264487429,146245177.475,209449,205699.56666666668,120,571,225.96666666666667,272579866,143500319.86666667,94038,91267.39166666666,240,841,335.20416666666665,388261600,138968928.72916666,1038897,209719.3375,120,52649,4866.458333333333,120,3004,1144.8583333333333,226371738,126319042.58333333,1144256,1102548.5583333333,120,887,227.38333333333333,200207097,109898160.81666666,94038,91267.39166666666,1,5,24
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0095,768591,5667,124610,72105,181240,175290,206148,120,3063,999.3916666666667,1153852136,284723567.7,485033,481413.26666666666,120,555,220.175,412073915,159374824.525,94038,91267.39166666666,240,1936,594.9916666666667,311404316,122338913.2375,3138853,853150.4291666667,120,147652,24432.366666666665,120,1996,843.7833333333333,270730981,119623320.91666667,1049801,1010634.6833333333,120,299,154.38333333333333,235726827,120788549.26666667,94038,91267.39166666666,240,1865,532.1416666666667,313681759,108417842.49166666,2903493,787604.3041666667,120,127955,24153.441666666666,120,3697,1103.7833333333333,222816988,115662854.59166667,1046151,1007689.075,120,1060,273.625,179971334,103397844.975,94038,91267.39166666666,240,1733,491.45416666666665,311274051,101376899.075,3132543,784994.7791666667,120,103960,24671.35,240,2134,610.0791666666667,367036509,164632868.15833333,1982539,412654.2,120,82596,14600.658333333333,120,3313,653.7666666666667,295043850,141986602.23333332,209449,205699.56666666668,120,3557,464.59166666666664,261563787,132560360.75833334,94038,91267.39166666666,240,885,324.35833333333335,407991466,134218314.64166668,1039549,209712.675,120,54791,4605.083333333333,120,992,552.25,298535167,130228811.06666666,1144256,1102548.5583333333,120,303,155.33333333333334,216735836,113607552.96666667,94038,91267.39166666666,1,5,24
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0097,846572,5373,118891,88276,230593,204466,196270,120,2983,929.0083333333333,1003430167,279547598.44166666,485033,481413.26666666666,120,615,215.35833333333332,400599026,164950377.79166666,94038,91267.39166666666,240,1666,528.925,268169290,106540903.87916666,3141216,853380.9541666667,120,150541,23561.283333333333,120,2984,1036.3,304868687,129229703.25833334,1049801,1010634.6833333333,120,860,160.81666666666666,204970089,115752551.00833334,94038,91267.39166666666,240,1484,468.55,271625710,102779544.0125,2906004,787722.6166666667,120,125993,23464.016666666666,120,2171,849.7416666666667,320617998,119865855.78333333,1046151,1007689.075,120,246,128.45,188338733,98980555.40833333,94038,91267.39166666666,240,1880,477.2,266678029,98692869.01666667,3131636,785029.2125,120,136406,22899.025,240,2513,547.0541666666667,355919754,143520300.59166667,1981609,412552.75416666665,120,63067,13044.85,120,3101,731.1833333333333,202918931,128878497.41666667,209449,205699.56666666668,120,354,168.10833333333332,254465736,130472320.85833333,94038,91267.39166666666,240,703,308.3666666666667,340208812,125407987.8375,1038710,209721.70416666666,120,53390,4372.908333333334,120,2706,1122.325,236719974,125442057.84166667,1144256,1102548.5583333333,120,287,153.19166666666666,231115496,120189992.93333334,94038,91267.39166666666,1,5,24
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0096,824857,5520,136003,87494,196935,187888,207479,120,2952,881.8416666666667,831372674,284552867.05,485033,481413.26666666666,120,566,225.225,411922328,159438980.01666668,94038,91267.39166666666,240,1855,580.8041666666667,366211197,117647062.10416667,3141075,853130.0,120,155996,22898.183333333334,120,2550,1037.05,241029271,133700582.73333333,1049801,1010634.6833333333,120,955,205.33333333333334,234934051,110026972.025,94038,91267.39166666666,240,1944,546.6291666666667,406236788,118377815.65416667,2904211,787526.8791666667,120,116787,23805.666666666668,120,3572,1231.5916666666667,206117138,114957314.1,1046151,1007689.075,120,1383,193.81666666666666,176617628,102490913.06666666,94038,91267.39166666666,240,1363,501.4,271458153,105484315.12083334,3133582,785038.8083333333,120,135863,24989.275,240,2123,578.5375,485610059,149918865.775,1982124,412621.3333333333,120,59486,12693.1,120,1663,674.3916666666667,268993780,140523546.90833333,209449,205699.56666666668,120,974,169.43333333333334,300372742,125860417.29166667,94038,91267.39166666666,240,798,273.15416666666664,352934818,114276935.9625,1038371,209754.85833333334,120,51725,4469.25,120,3154,1215.825,321699824,135344311.81666666,1144256,1102548.5583333333,120,509,155.50833333333333,235792977,119030675.075,94038,91267.39166666666,1,5,24
