Job ID,Submission Time,Stage IDs,Completion Time
0,1520887272065,"[0, 1, 2, 3]",NOVAL
0,NOVAL,NOVAL,1520887403208
1,1520887404797,"[5, 6, 7, 4]",NOVAL
1,NOVAL,NOVAL,1520887488693
2,1520887490050,"[9, 10, 11, 8]",NOVAL
2,NOVAL,NOVAL,1520887590642
3,1520887591960,"[15, 12, 13, 14]",NOVAL
3,NOVAL,NOVAL,1520887677962
4,1520887679133,"[19, 16, 17, 18]",NOVAL
4,NOVAL,NOVAL,1520887769400
