Job ID,Submission Time,Stage IDs,Completion Time
0,1511444408453,"[0, 1, 2, 3]",NOVAL
0,NOVAL,NOVAL,1511444527230
1,1511444528323,"[5, 6, 7, 4]",NOVAL
1,NOVAL,NOVAL,1511444608995
2,1511444609846,"[9, 10, 11, 8]",NOVAL
2,NOVAL,NOVAL,1511444790326
3,1511444791220,"[15, 12, 13, 14]",NOVAL
3,NOVAL,NOVAL,1511444999953
4,1511445000590,"[19, 16, 17, 18]",NOVAL
4,NOVAL,NOVAL,1511445176926
