Job ID,Submission Time,Stage IDs,Completion Time
0,1520884416784,"[0, 1, 2, 3]",NOVAL
0,NOVAL,NOVAL,1520884552301
1,1520884553915,"[5, 6, 7, 4]",NOVAL
1,NOVAL,NOVAL,1520884653823
2,1520884655119,"[9, 10, 11, 8]",NOVAL
2,NOVAL,NOVAL,1520884791992
3,1520884793358,"[15, 12, 13, 14]",NOVAL
3,NOVAL,NOVAL,1520884871225
4,1520884872406,"[19, 16, 17, 18]",NOVAL
4,NOVAL,NOVAL,1520884975094
