Job ID,Submission Time,Stage IDs,Completion Time
0,1511436995617,"[0, 1, 2, 3]",NOVAL
0,NOVAL,NOVAL,1511437121596
1,1511437138391,"[5, 6, 7, 4]",NOVAL
1,NOVAL,NOVAL,1511437210106
2,1511437214182,"[9, 10, 11, 8]",NOVAL
2,NOVAL,NOVAL,1511437414269
3,1511437414861,"[15, 12, 13, 14]",NOVAL
3,NOVAL,NOVAL,1511437585563
4,1511437586180,"[19, 16, 17, 18]",NOVAL
4,NOVAL,NOVAL,1511437756239
