Application class: name
run,applicationCompletionTime,applicationDeltaBeforeComputing,jobCompletionTime_J0,jobCompletionTime_J1,jobCompletionTime_J2,jobCompletionTime_J3,jobCompletionTime_J4,nTask_S0,maxTask_S0,avgTask_S0,SHmax_S0,SHavg_S0,Bmax_S0,Bavg_S0,nTask_S1,maxTask_S1,avgTask_S1,SHmax_S1,SHavg_S1,Bmax_S1,Bavg_S1,nTask_S10,maxTask_S10,avgTask_S10,SHmax_S10,SHavg_S10,Bmax_S10,Bavg_S10,nTask_S11,maxTask_S11,avgTask_S11,nTask_S12,maxTask_S12,avgTask_S12,SHmax_S12,SHavg_S12,Bmax_S12,Bavg_S12,nTask_S13,maxTask_S13,avgTask_S13,SHmax_S13,SHavg_S13,Bmax_S13,Bavg_S13,nTask_S14,maxTask_S14,avgTask_S14,SHmax_S14,SHavg_S14,Bmax_S14,Bavg_S14,nTask_S15,maxTask_S15,avgTask_S15,nTask_S16,maxTask_S16,avgTask_S16,SHmax_S16,SHavg_S16,Bmax_S16,Bavg_S16,nTask_S17,maxTask_S17,avgTask_S17,SHmax_S17,SHavg_S17,Bmax_S17,Bavg_S17,nTask_S18,maxTask_S18,avgTask_S18,SHmax_S18,SHavg_S18,Bmax_S18,Bavg_S18,nTask_S19,maxTask_S19,avgTask_S19,nTask_S2,maxTask_S2,avgTask_S2,SHmax_S2,SHavg_S2,Bmax_S2,Bavg_S2,nTask_S3,maxTask_S3,avgTask_S3,nTask_S4,maxTask_S4,avgTask_S4,SHmax_S4,SHavg_S4,Bmax_S4,Bavg_S4,nTask_S5,maxTask_S5,avgTask_S5,SHmax_S5,SHavg_S5,Bmax_S5,Bavg_S5,nTask_S6,maxTask_S6,avgTask_S6,SHmax_S6,SHavg_S6,Bmax_S6,Bavg_S6,nTask_S7,maxTask_S7,avgTask_S7,nTask_S8,maxTask_S8,avgTask_S8,SHmax_S8,SHavg_S8,Bmax_S8,Bavg_S8,nTask_S9,maxTask_S9,avgTask_S9,SHmax_S9,SHavg_S9,Bmax_S9,Bavg_S9,users,dataSize,nContainers
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0091,720062,5968,107735,72966,193521,173261,163261,120,3387,1143.675,727755686,314186591.75,485033,481413.26666666666,120,512,236.5,326662527,169779531.45,94038,91267.39166666666,240,1912,584.1,389719607,124341253.00833334,3137505,853323.4375,120,150954,27586.091666666667,120,3118,1151.1916666666666,248287117,131372852.59166667,1049801,1010634.6833333333,120,713,165.8,192290341,110958977.85833333,94038,91267.39166666666,240,2020,564.5166666666667,321885793,113728070.80416666,2906088,787639.1583333333,120,124251,32028.566666666666,120,3671,1309.1583333333333,197955659,120218049.35,1046151,1007689.075,120,1655,391.325,205288447,108391993.59166667,94038,91267.39166666666,240,1880,562.3083333333333,466020451,116192898.4125,3131673,785084.6833333333,120,128458,27972.325,240,2799,706.9333333333333,516513005,184428938.05,1980543,412664.3375,120,55560,14992.3,120,5564,1905.6833333333334,226102431,138401971.55,209449,205699.56666666668,120,2885,213.93333333333334,180605245,118873141.775,94038,91267.39166666666,240,1051,338.7583333333333,372563999,135454240.39583334,1038338,209729.39166666666,120,54236,4948.633333333333,120,4968,1401.8083333333334,281708437,132578521.49166666,1144256,1102548.5583333333,120,1720,454.875,179275381,108741482.74166666,94038,91267.39166666666,1,5,36
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0093,719605,5738,123801,59796,201892,159878,165100,120,6536,1313.2916666666667,725415459,321743720.39166665,485033,481413.26666666666,120,589,210.10833333333332,433938920,159903579.70833334,94038,91267.39166666666,240,1702,580.7708333333334,355139580,119789602.1875,3140848,853385.1041666666,120,143533,28144.858333333334,120,3658,1112.1916666666666,237123415,128303584.85,1049801,1010634.6833333333,120,1185,216.69166666666666,187354359,108447634.50833334,94038,91267.39166666666,240,1881,561.925,374819974,118845852.54583333,2904034,787608.0416666666,120,147015,29359.508333333335,120,4189,1579.0666666666666,319147998,126032373.86666666,1046151,1007689.075,120,2211,450.84166666666664,217283877,107596885.3,94038,91267.39166666666,240,1813,553.9041666666667,263547659,119234566.5375,3131780,785105.0083333333,120,129826,25569.808333333334,240,2337,717.2875,499408938,188941615.22083333,1980314,412581.5833333333,120,73098,14357.391666666666,120,1721,562.95,287943344,140821676.5,209449,205699.56666666668,120,1507,355.96666666666664,275667611,120190053.55,94038,91267.39166666666,240,1534,354.04583333333335,394378669,139039575.85833332,1038653,209713.37083333332,120,48037,4718.1,120,2269,967.7916666666666,248041814,139304375.075,1144256,1102548.5583333333,120,503,238.04166666666666,228428796,124347300.08333333,94038,91267.39166666666,1,5,36
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0090,805334,9213,125979,71715,200087,170702,170059,120,7874,1401.7,752544136,315225133.81666666,485033,481413.26666666666,120,1062,298.5,336683560,157764207.44166666,94038,91267.39166666666,240,1946,609.55,350020633,124602449.10833333,3137661,853290.3,120,152824,32740.225,120,5294,2009.1666666666667,256194840,128004708.08333333,1049801,1010634.6833333333,120,1664,158.825,206988926,98070720.925,94038,91267.39166666666,240,1760,550.0166666666667,279018621,120081313.17916666,2904918,787679.7708333334,120,130259,31170.45,120,4899,2262.9416666666666,215147787,125588649.86666666,1046151,1007689.075,120,2936,743.5833333333334,180936267,111370530.25833334,94038,91267.39166666666,240,1695,556.0666666666667,385538483,115810546.22916667,3132274,785083.8666666667,120,139660,33541.775,240,2556,710.575,500230885,166041596.27083334,1983042,412556.55,120,82995,16771.933333333334,120,2772,707.925,271590865,147391094.31666666,209449,205699.56666666668,120,1730,485.5083333333333,217453696,124510567.8,94038,91267.39166666666,240,875,353.525,401347395,146642572.64583334,1039566,209761.64583333334,120,60319,5974.683333333333,120,7707,2391.366666666667,248584845,133171588.43333334,1144256,1102548.5583333333,120,3207,330.5,200779098,118986301.29166667,94038,91267.39166666666,1,5,36
138c99c5-923b-4ab5-aee7-ca31dbcd391a-0092,681272,5920,118992,64035,172061,161556,155088,120,5509,1117.5083333333334,1224382430,312747933.075,485033,481413.26666666666,120,727,248.49166666666667,477919009,181744938.7,94038,91267.39166666666,240,2137,619.8625,293390580,128649915.80833334,3140348,853254.1166666667,120,138705,25582.058333333334,120,3145,1659.8416666666667,200241150,129610035.175,1049801,1010634.6833333333,120,1913,227.0,221907460,121467960.95833333,94038,91267.39166666666,240,1786,564.3875,312933349,122034451.7625,2904928,787662.8625,120,125036,26506.458333333332,120,3921,1896.55,218337034,126532037.96666667,1046151,1007689.075,120,802,157.625,211462679,108307333.40833333,94038,91267.39166666666,240,1710,542.2125,302510571,108916304.77083333,3132970,785107.1416666667,120,132773,28768.191666666666,240,2348,712.35,518648613,171870184.75833333,1983516,412589.57083333336,120,65920,14953.0,120,2956,957.7916666666666,232533025,143728263.30833334,209449,205699.56666666668,120,358,187.26666666666668,276615527,143539241.81666666,94038,91267.39166666666,240,1036,352.5125,364501977,141090759.24166667,1039284,209738.80833333332,120,54612,4780.025,120,4823,1834.1416666666667,298845401,139492847.88333333,1144256,1102548.5583333333,120,229,135.51666666666668,191910014,104566837.14166667,94038,91267.39166666666,1,5,36
