Job ID,Submission Time,Stage IDs,Completion Time
0,1511455985002,"[0, 1, 2, 3]",NOVAL
0,NOVAL,NOVAL,1511456158643
1,1511456159739,"[5, 6, 7, 4]",NOVAL
1,NOVAL,NOVAL,1511456262542
2,1511456263249,"[9, 10, 11, 8]",NOVAL
2,NOVAL,NOVAL,1511456532930
3,1511456533454,"[15, 12, 13, 14]",NOVAL
3,NOVAL,NOVAL,1511456825302
4,1511456825939,"[19, 16, 17, 18]",NOVAL
4,NOVAL,NOVAL,1511457093445
