Job ID,Submission Time,Stage IDs,Completion Time
0,1520880886225,"[0, 1, 2, 3]",NOVAL
0,NOVAL,NOVAL,1520881038723
1,1520881040294,"[5, 6, 7, 4]",NOVAL
1,NOVAL,NOVAL,1520881149636
2,1520881150985,"[9, 10, 11, 8]",NOVAL
2,NOVAL,NOVAL,1520881275216
3,1520881276558,"[15, 12, 13, 14]",NOVAL
3,NOVAL,NOVAL,1520881373265
4,1520881374626,"[19, 16, 17, 18]",NOVAL
4,NOVAL,NOVAL,1520881493866
